año,granpremio,posicion1,posicion2,posicion3,valoracion
2017,Spanish GP,Hamilton,Vettel,Ricciardo,7.85
2017,Monaco GP,Vettel,Raikkonen,Ricciardo,4.93
2017,Canadian GP,Hamilton,Bottas,Ricciardo,7.63
2017,Azerbaijan GP,Ricciardo,Bottas,Stroll,8.8
2017,Austrian GP,Bottas,Vettel,Ricciardo,5.85
2018,Australian GP,Vettel,Hamilton,Raikkonen,6.1
2018,British GP,Vettel,Hamilton,Raikkonen,8.69
2018,German GP,Hamilton,Bottas,Raikkonen,8.12
2018,Hungarian GP,Hamilton,Vettel,Raikkonen,6.11
2018,Belgian GP,Vettel,Hamilton,Verstappen,5.29
2018,Bahrain GP,Vettel,Bottas,Hamilton,8.36
2018,Chinese GP,Ricciardo,Bottas,Raikkonen,8.59
2018,Azerbaijan GP,Hamilton,Raikkonen,Perez,8.57
2018,Spanish GP,Hamilton,Bottas,Verstappen,4.85
2018,Monaco GP,Ricciardo,Vettel,Hamilton,5.23
2018,Canadian GP,Vettel,Bottas,Verstappen,4.24
2018,French GP,Hamilton,Verstappen,Raikkonen,6.47
2018,Austrian GP,Verstappen,Raikkonen,Vettel,8.01
